"rho"	"adj_p_value"	"CompID1"	"CompID2"	"Calc..MW"	"m.z"	"RT..min."	"Reference.Ion"	"ABSrho"
-0.154499835531772	1	"191"	"spread2"	"190.09483"	"191.10263"	"57.57533581"	"2,6-Diaminopimelic acid"	0.154499835531772
0.15425253667796	1	"220"	"cereal2b"	"88.09952"	"89.10732"	"47.40645612"	"Putrescine"	0.15425253667796
-0.153040313332872	1	"236"	"snack4"	"136.03799"	"137.04579"	"88.285322"	"Hypoxanthine"	0.153040313332872
-0.152822146398181	1	"1536"	"spread2"	"202.14245"	"203.15025"	"57.5586678"	"N,N,dimethylarginine"	0.152822146398181
-0.15279822645199	1	"105"	"spread2"	"86.03626"	"87.04406"	"140.113029"	"gamma-Butyrolactone"	0.15279822645199
0.152668355056643	1	"293"	"cereal2b"	"204.08935"	"205.09715"	"312.7110981"	"L-Tryptophan"	0.152668355056643
-0.152590218608805	1	"171"	"spread2"	"131.09411"	"132.10191"	"130.1510916"	"L-Leucine"	0.152590218608805
-0.152590218608805	1	"1993"	"spread2"	"131.09411"	"132.10191"	"138.8309129"	"Norleucine"	0.152590218608805
-0.151704311804961	1	"1467"	"spread2"	"188.11557"	"189.12337"	"86.08447513"	"N6-acetyl-L-lysine"	0.151704311804961
-0.151116922496422	1	"220"	"spread2"	"88.09952"	"89.10732"	"47.40645612"	"Putrescine"	0.151116922496422
-0.150833956584931	1	"1482"	"spread2"	"165.04544"	"166.05324"	"53.48839266"	"DL-Methionine sulfoxide"	0.150833956584931
-0.150604826393888	1	"1981"	"spread2"	"173.10467"	"174.11247"	"449.0496459"	"N-Acetyl-leucine"	0.150604826393888
0.150217159379708	1	"175"	"cereal2b"	"119.05772"	"120.06552"	"53.21232844"	"L-Threonine"	0.150217159379708
0.149701147286396	1	"177"	"cereal2b"	"149.05053"	"150.05833"	"84.20998331"	"L-Methionine"	0.149701147286396
-0.149294035329597	1	"174"	"drink4"	"105.04207"	"106.04987"	"53.37106734"	"L-Serine"	0.149294035329597
0.149196986833423	1	"466"	"cereal2b"	"165.06454"	"166.07234"	"88.43841979"	"7-Methylguanine"	0.149196986833423
-0.148407543018152	1	"129"	"fish1"	"180.06391"	"179.05611"	"52.28120432"	"D(+)-Galactose"	0.148407543018152
-0.147844386989675	1	"172"	"spread2"	"131.09411"	"132.10191"	"118.0668404"	"L-Isoleucine"	0.147844386989675
0.146417150258589	1	"183"	"cereal2b"	"103.06281"	"104.07061"	"54.5863322"	"gamma-Aminobutyric acid (GABA)"	0.146417150258589
0.14562222202494	1	"1583"	"drink4"	"167.091"	"168.0988"	"236.9569977"	"L-Phenylalanine-d2"	0.14562222202494
0.145509616453804	1	"76"	"ME_week"	"134.02204"	"133.01424"	"64.70918125"	"Malic acid"	0.145509616453804
0.145354969446646	1	"474"	"breakfast1"	"180.0642"	"181.072"	"282.6409668"	"Theobromine"	0.145354969446646
-0.144610694831366	1	"59"	"spread2"	"88.05191"	"89.05971"	"359.718625"	"Butyric acid"	0.144610694831366
-0.144497453461606	1	"7"	"MD_week"	"92.04682"	"93.05462"	"58.98270796"	"Glycerol "	0.144497453461606
-0.144232636225649	1	"1603"	"fish1"	"179.07884"	"180.08664"	"54.15895794"	"Glucosamine"	0.144232636225649
-0.144060672119542	1	"504"	"spread2"	"152.0329"	"153.0407"	"97.41585781"	"Xanthine"	0.144060672119542
0.143419620479752	1	"1519"	"Dark_cereals_week"	"228.07514"	"227.06734"	"146.5454688"	"2-Deoxyuridine"	0.143419620479752
-0.143418945970628	1	"416"	"MD_week"	"90.03221"	"89.02441"	"83.51363766"	"D-(-) Lactic acid"	0.143418945970628
-0.143418600645592	1	"1967"	"fish1"	"179.07885"	"180.08665"	"54.3910525"	"Mannosamine"	0.143418600645592
0.143411874678195	1	"1891"	"cereal2b"	"280.1054"	"281.1132"	"321.6456447"	"Asp-Phe"	0.143411874678195
0.142473082536909	1	"12"	"egg2"	"182.07956"	"181.07176"	"51.39893125"	"Mannitol"	0.142473082536909
0.141437441670471	1	"180"	"cereal2b"	"165.07846"	"166.08626"	"237.7886118"	"L-Phenylalanine"	0.141437441670471
-0.141073047749912	1	"1505"	"cereal2a"	"122.0373"	"121.0295"	"418.6969142"	"4-Hydroxybenzaldehyde"	0.141073047749912
-0.14086562675115	1	"1421"	"MD_week"	"106.02713"	"105.01933"	"56.77992612"	"L-Glyceric acid"	0.14086562675115
0.140688566893985	1	"170"	"cereal2b"	"117.07846"	"118.08626"	"74.57402752"	"L-Valine"	0.140688566893985
0.140670960804422	1	"1466"	"White_cereals_week"	"261.12071"	"262.12851"	"106.8"	"O-succinyl- L-carnitine "	0.140670960804422
0.13973490578308	1	"76"	"meat3"	"134.02204"	"133.01424"	"64.70918125"	"Malic acid"	0.13973490578308
-0.139488169235243	1	"1967"	"MD_week"	"179.07885"	"180.08665"	"54.3910525"	"Mannosamine"	0.139488169235243
-0.139440853803439	1	"91"	"Egg_week"	"202.12103"	"201.11323"	"540.1626982"	"Sebacic acid "	0.139440853803439
-0.139419396658885	1	"504"	"snack4"	"152.0329"	"153.0407"	"97.41585781"	"Xanthine"	0.139419396658885
-0.139389461837506	1	"89"	"cheese1"	"188.10538"	"187.09758"	"524.5752462"	"Azelaic acid"	0.139389461837506
0.13915488857744	1	"1840"	"cheese2"	"162.99445"	"161.98665"	"201.7785663"	"Acesulfame K"	0.13915488857744
-0.139070195297709	1	"1603"	"MD_week"	"179.07884"	"180.08664"	"54.15895794"	"Glucosamine"	0.139070195297709
0.13901633772712	1	"1980"	"drink8"	"175.0486"	"174.0408"	"78.37434919"	"N-Acetyl-aspartic acid"	0.13901633772712
-0.138820588500825	1	"1422"	"spread2"	"114.07878"	"115.08658"	"54.42614514"	"(S)-3?Amino?2?piperidone"	0.138820588500825
0.138714172525201	1	"1562"	"fish2"	"131.05772"	"132.06552"	"96.32817645"	"N-acetyl-beta-alanine"	0.138714172525201
0.138648492408777	1	"206"	"cereal2b"	"191.06109"	"192.06889"	"338.6372259"	"N-Acetyl-L-methionine"	0.138648492408777
-0.138423314169348	1	"1543"	"spread2"	"123.0315"	"124.0393"	"83.33524872"	"2-picolinic acid"	0.138423314169348
-0.138423314169348	1	"203"	"spread2"	"123.0315"	"124.0393"	"83.30702439"	"Nicotinic acid"	0.138423314169348
0.137779497446131	1	"57"	"cereal2b"	"60.02061"	"61.02841"	"90.94765786"	"Acetic acid"	0.137779497446131
0.13777303006883	1	"416"	"snack2"	"90.03221"	"89.02441"	"83.51363766"	"D-(-) Lactic acid"	0.13777303006883
-0.137667483080662	1	"2038"	"spread2"	"242.0908"	"241.083"	"252.6656206"	"Thymidine"	0.137667483080662
0.137640617674002	1	"1421"	"cereal2b"	"106.02713"	"105.01933"	"56.77992612"	"L-Glyceric acid"	0.137640617674002
