CompID	Calc. MW	m/z	RT (min)	Reference Ion
227	111.04274	112.05054	54.91419442	Cytosine
236	136.03799	137.04579	88.285322	Hypoxanthine
242	126.0424	127.0502	149.8716234	"Thymine (5-Methyl-2,4-dihydroxypyrimidine)"
243	112.02675	113.03455	83.01499695	Uracil
275	408.2881	407.2803	590.8715549	Cholic acid (CA)
276	392.29314	391.28534	642	Chenodeoxycholic acid (CDCA)
279	392.29314	391.28534	594	Ursodeoxycholic acid (UDCA)
281	465.30956	464.30176	559.8691789	Sodium glycocholate hydrate  (GCA)
288	449.31465	448.30685	561	Glycoursodeoxycholic acid (GUDCA)
291	360.19315	361.20095	547.1604398	Cortisone
293	204.08935	205.09715	312.7110981	L-Tryptophan
294	161.1047	162.1125	54.13410323	L-Carnitine
296	176.09444	177.10224	204	Serotonin
298	117.07846	118.08626	61.77223434	Betaine 
299	259.17783	260.18563	472.8848247	DL-Hexanoylcarnitine
303	121.08863	122.09643	282	beta-Phenylethylamine (2-phenylethylamine)
304	276.02516	275.01736	56.53499535	6-Phosphogluconic acid
306	169.0846	170.0924	44.10147664	1-Methyl-L-histidine
307	145.15736	146.16516	45.65021894	Acetylcholine
308	245.16218	246.16998	370.8875928	Isovaleryl-L-carnitine (3-Methylbutyrylcarnitine)
309	136.0377	135.0299	53.30398894	D-Erythronic acid
310	132.07916	131.07136	429.7055788	(+/-)-2-Hydroxyisocaproic acid
312	161.06828	162.07608	56.87108634	DL-A-Aminoadipic acid
315	131.069	132.0768	55.83455828	Creatine
316	113.0583	114.0661	55.54834544	Creatinine
320	208.08427	209.09207	226.7764217	L-Kynurenine
324	130.06351	129.05571	386.9691785	4-Methyl-2-oxovaleric acid
325	111.07912	112.08692	49.64885451	Histamine
327	191.05772	192.06552	367.8	5-Hydroxyindole-3-acetic acid
328	398.1367	399.1445	48	S-(5?-Adenosyl)-L-methionine
331	92.06598	93.07378	54	L-Alanine-d3
332	103.09919	104.10699	52.22596718	Choline
416	90.03221	89.02441	83.51363766	D-(-) Lactic acid
466	165.06454	166.07234	88.43841979	7-Methylguanine
474	180.0642	181.072	282.6409668	Theobromine
475	194.07985	195.08765	379.1290605	Caffëine
480	180.0642	181.072	316.6273398	Theophylline
486	221.08941	222.09721	58.26082885	"N-acetylglucosamine

"
504	152.0329	153.0407	97.41585781	Xanthine
507	192.0639	191.0561	56.18887996	D(-)Quinic acid
523	151.04889	152.05669	78.8369067	Guanine
533	149.06962	150.07742	88.21600399	3-Methyladenine
537	244.07006	243.06226	88.88552355	Uridine
538	267.09623	268.10403	156	Adenosine (Adenosyl)
558	243.085	244.0928	75.00374209	Cytidine
562	59.07299	60.08079	52.75637905	Trimethylamine
569	189.04207	190.04987	346.1588827	Kynurenic acid
576	135.05397	136.06177	78	Adenine
583	289.12663	290.13443	84.98668055	Ophthalmic acid
952	231.14653	232.15433	286.4399113	Butyrylcarnitine
1345	75.06789	76.07569	53.23106094	Trimethylamine N-oxide 
1391	189.07845	190.08625	546.0785551	3-Indole-propionic acid
1395	153.04203	154.04983	282	3-Hydroxyanthranilic acid
1397	205.07441	204.06661	618	DL-Indole-3-lactic acid
