"rho"	"adj_p_value"	"CompID1"	"CompID2"	"Calc..MW"	"m.z"	"RT..min."	"Reference.Ion"	"ABSrho"
-0.168	0.107	"184"	"spread2"	"117.07846"	"118.08626"	"61.77223434"	"5-aminovaleric acid"	0.168
-0.168	0.107	"298"	"spread2"	"117.07846"	"118.08626"	"61.77223434"	"Betaine "	0.168
-0.168	0.107	"480"	"cereal3"	"180.0642"	"181.072"	"316.6273398"	"Theophylline"	0.168
0.168	0.11	"57"	"cereal2b"	"60.02061"	"61.02841"	"90.94765786"	"Acetic acid"	0.168
0.167	0.11	"171"	"cereal2b"	"131.09411"	"132.10191"	"130.1510916"	"L-Leucine"	0.167
0.167	0.11	"1993"	"cereal2b"	"131.09411"	"132.10191"	"138.8309129"	"Norleucine"	0.167
0.166	0.115	"1425"	"drink3b"	"118.06352"	"117.05572"	"302.2938153"	"Alpha-hydroxyisovalerate"	0.166
0.166	0.114	"170"	"cereal2b"	"117.07846"	"118.08626"	"74.57402752"	"L-Valine"	0.166
0.165	0.12	"1496"	"spread2"	"245.16218"	"246.16998"	"370.8875928"	"2-Methylbutyryl-L-carnitine"	0.165
0.164	0.129	"206"	"cereal2b"	"191.06109"	"192.06889"	"338.6372259"	"N-Acetyl-L-methionine"	0.164
0.164	0.129	"308"	"spread2"	"245.16218"	"246.16998"	"370.8875928"	"Isovaleryl-L-carnitine (3-Methylbutyrylcarnitine)"	0.164
0.164	0.13	"97"	"drink3b"	"268.08025"	"269.08805"	"165.4465514"	"Inosine"	0.164
-0.163	0.135	"1560"	"spread2"	"284.07516"	"285.08296"	"226.8627015"	"Xanthosine"	0.163
0.163	0.139	"191"	"cereal2b"	"190.09483"	"191.10263"	"57.57533581"	"2,6-Diaminopimelic acid"	0.163
0.162	0.139	"180"	"cereal2b"	"165.07846"	"166.08626"	"237.7886118"	"L-Phenylalanine"	0.162
0.162	0.144	"1891"	"cereal2b"	"280.1054"	"281.1132"	"321.6456447"	"Asp-Phe"	0.162
-0.161	0.149	"90"	"spread2"	"132.04278"	"131.03498"	"205.0839683"	"Glutaric acid"	0.161
0.161	0.151	"174"	"drink1"	"105.04207"	"106.04987"	"53.37106734"	"L-Serine"	0.161
0.16	0.151	"1840"	"snack3"	"162.99445"	"161.98665"	"201.7785663"	"Acesulfame K"	0.16
0.16	0.151	"30"	"drink3b"	"152.04787"	"151.04007"	"364.7968423"	"4-Hydroxyphenylacetic acid"	0.16
0.159	0.165	"309"	"spread2"	"136.0377"	"135.0299"	"53.30398894"	"D-Erythronic acid"	0.159
0.159	0.162	"242"	"cereal2b"	"126.0424"	"127.0502"	"149.8716234"	"Thymine (5-Methyl-2,4-dihydroxypyrimidine)"	0.159
0.159	0.165	"466"	"cereal2b"	"165.06454"	"166.07234"	"88.43841979"	"7-Methylguanine"	0.159
0.158	0.169	"173"	"drink1"	"115.06281"	"116.07061"	"56.80992017"	"L-Proline "	0.158
0.158	0.173	"1913"	"drink3b"	"145.10976"	"146.11756"	"57.24712539"	"Deoxycarnitine"	0.158
0.158	0.166	"197"	"snack8"	"132.05297"	"133.06077"	"52.25808754"	"L-Asparagine "	0.158
0.157	0.173	"1545"	"spread2"	"136.03769"	"135.02989"	"53.30398894"	"L-threonic acid"	0.157
-0.157	0.173	"1477"	"spread2"	"246.0999"	"247.1077"	"506.7892784"	"N-acetyl-DL-tryptophan"	0.157
-0.157	0.173	"474"	"fruit2"	"180.0642"	"181.072"	"282.6409668"	"Theobromine"	0.157
0.156	0.18	"188"	"drink1"	"132.0904"	"131.0826"	"52.03746714"	"L-Ornithine"	0.156
0.156	0.18	"1466"	"White_cereals_week"	"261.12071"	"262.12851"	"106.8"	"O-succinyl- L-carnitine "	0.156
0.156	0.18	"1481"	"spread2"	"287.20913"	"288.21693"	"531"	"Octanoyl-L-carnitine C8:0"	0.156
-0.156	0.18	"1583"	"potato2"	"167.091"	"168.0988"	"236.9569977"	"L-Phenylalanine-d2"	0.156
0.155	0.187	"12"	"cereal2b"	"182.07956"	"181.07176"	"51.39893125"	"Mannitol"	0.155
-0.155	0.187	"1536"	"spread2"	"202.14245"	"203.15025"	"57.5586678"	"N,N,dimethylarginine"	0.155
-0.155	0.187	"174"	"drink4"	"105.04207"	"106.04987"	"53.37106734"	"L-Serine"	0.155
-0.154	0.194	"1542"	"spread2"	"159.09006"	"158.08226"	"336.4016279"	"N-acetylvaline"	0.154
0.154	0.201	"1840"	"cheese2"	"162.99445"	"161.98665"	"201.7785663"	"Acesulfame K"	0.154
0.154	0.195	"1704"	"snack2"	"169.07336"	"170.08116"	"87.26370029"	"Pyridoxine"	0.154
-0.153	0.21	"1505"	"cereal2a"	"122.0373"	"121.0295"	"418.6969142"	"4-Hydroxybenzaldehyde"	0.153
-0.153	0.204	"243"	"snack4"	"112.02675"	"113.03455"	"83.01499695"	"Uracil"	0.153
